"filename", "language", "HTML", "PHP", "JSON", "Markdown", "reStructuredText", "JavaScript", "CSS", "XML", "YAML", "Makefile", "Docker", "comment", "blank", "total"
"c:\wamp\www\complaint\README.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\wamp\www\complaint\application\cache\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\config\autoload.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 10, 137
"c:\wamp\www\complaint\application\config\config.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 31, 534
"c:\wamp\www\complaint\application\config\constants.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 7, 93
"c:\wamp\www\complaint\application\config\database.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 3, 97
"c:\wamp\www\complaint\application\config\doctypes.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\wamp\www\complaint\application\config\facebook.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\wamp\www\complaint\application\config\foreign_chars.php", "PHP", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 115
"c:\wamp\www\complaint\application\config\google.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\wamp\www\complaint\application\config\hooks.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 14
"c:\wamp\www\complaint\application\config\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\config\memcached.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 20
"c:\wamp\www\complaint\application\config\migration.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 7, 85
"c:\wamp\www\complaint\application\config\mimes.php", "PHP", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 187
"c:\wamp\www\complaint\application\config\profiler.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 15
"c:\wamp\www\complaint\application\config\routes.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 2, 55
"c:\wamp\www\complaint\application\config\smileys.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 65
"c:\wamp\www\complaint\application\config\user_agents.php", "PHP", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 11, 223
"c:\wamp\www\complaint\application\controllers\Login.php", "PHP", 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48, 321
"c:\wamp\www\complaint\application\controllers\Register.php", "PHP", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 43, 289
"c:\wamp\www\complaint\application\controllers\Sociallogin.php", "PHP", 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 61, 320
"c:\wamp\www\complaint\application\controllers\Userpanel.php", "PHP", 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 73, 339
"c:\wamp\www\complaint\application\controllers\Welcome.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 26
"c:\wamp\www\complaint\application\controllers\admin\Admin.php", "PHP", 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 171, 935
"c:\wamp\www\complaint\application\controllers\admin\Systemtask.php", "PHP", 0, 404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 106, 528
"c:\wamp\www\complaint\application\controllers\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\core\MY_Controller.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 62
"c:\wamp\www\complaint\application\core\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\helpers\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\helpers\menu_helper.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\wamp\www\complaint\application\hooks\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\language\english\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\language\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\wamp\www\complaint\application\libraries\Customlib.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 135
"c:\wamp\www\complaint\application\libraries\Emailsend.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 90
"c:\wamp\www\complaint\application\libraries\Facebook.php", "PHP", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 17, 261
"c:\wamp\www\complaint\application\libraries\PHPMailer\README.md", "Markdown", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 64, 231
"c:\wamp\www\complaint\application\libraries\PHPMailer\SECURITY.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 38
"c:\wamp\www\complaint\application\libraries\PHPMailer\composer.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\wamp\www\complaint\application\libraries\PHPMailer\get_oauth_token.php", "PHP", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 17, 163
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-af.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-ar.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-az.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-ba.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-be.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-bg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-ca.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-cs.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-da.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 36
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-de.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-el.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 34
"c:\wamp\www\complaint\application\libraries\PHPMailer\language\phpmailer.lang-eo.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
